City,Date,Time,Temperature
Manila,2025-10-03,08:00:00,26.4
Manila,2025-10-03,09:00:00,26.0
Manila,2025-10-03,10:00:00,25.7
Manila,2025-10-03,11:00:00,25.3
Manila,2025-10-03,12:00:00,24.9
Manila,2025-10-03,13:00:00,25.1
Manila,2025-10-03,14:00:00,25.1
Manila,2025-10-03,15:00:00,25.2
Manila,2025-10-03,16:00:00,25.0
Manila,2025-10-03,17:00:00,24.7
Manila,2025-10-03,18:00:00,24.6
Manila,2025-10-03,19:00:00,24.5
Manila,2025-10-03,20:00:00,24.2
Manila,2025-10-03,21:00:00,24.3
Manila,2025-10-03,22:00:00,24.5
Manila,2025-10-03,23:00:00,25.8
Manila,2025-10-04,00:00:00,26.7
Manila,2025-10-04,01:00:00,27.9
Manila,2025-10-04,02:00:00,28.7
Manila,2025-10-04,03:00:00,29.2
Manila,2025-10-04,04:00:00,29.7
Manila,2025-10-04,05:00:00,26.9
Manila,2025-10-04,06:00:00,26.6
Manila,2025-10-04,07:00:00,27.3
